AW-1-O-1-T-D2,,AW-1-O-1-M-D2,,AW-1-O-1-L-D2,,AW-1-O-2-T-D2,,AW-1-O-2-M-D2,,AW-1-O-2-L-D2,,AW-1-O-3-T-D2,,AW-1-O-3-M-D2,,AW-1-O-3-L-D2,,AW-1-O-4-T-D2,,AW-1-O-4-M-D2,,AW-1-O-4-L-D2,
12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7906' N  36° 18.8176' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7810' N  36° 18.8122' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 41.7790' N  36° 18.8127' E,12° 40.5058' N  36° 16.8475' E
Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark,Transmitance,Dark
4.04E+03,3.89E+03,4.05E+03,3.86E+03,4.01E+03,3.84E+03,4.01E+03,3.87E+03,4.04E+03,3.88E+03,4.00E+03,3.88E+03,4.05E+03,3.86E+03,3.99E+03,3.84E+03,4.01E+03,3.90E+03,4.06E+03,3.89E+03,3.99E+03,3.88E+03,3.99E+03,4.75E+03
4.04E+03,3.88E+03,4.00E+03,3.84E+03,4.00E+03,3.86E+03,4.02E+03,3.89E+03,4.05E+03,3.90E+03,3.98E+03,3.86E+03,4.02E+03,3.82E+03,4.01E+03,3.86E+03,3.99E+03,3.89E+03,4.04E+03,3.89E+03,3.99E+03,3.85E+03,3.97E+03,4.77E+03
4.07E+03,3.86E+03,4.04E+03,3.88E+03,4.03E+03,3.84E+03,4.04E+03,3.90E+03,4.03E+03,3.88E+03,4.05E+03,3.86E+03,4.06E+03,3.84E+03,4.02E+03,3.88E+03,4.04E+03,3.90E+03,4.09E+03,3.89E+03,4.05E+03,3.87E+03,4.02E+03,4.82E+03
4.07E+03,3.88E+03,4.03E+03,3.84E+03,4.04E+03,3.84E+03,4.04E+03,3.87E+03,4.06E+03,3.88E+03,4.01E+03,3.87E+03,4.06E+03,3.86E+03,4.00E+03,3.85E+03,4.02E+03,3.90E+03,4.06E+03,3.86E+03,4.02E+03,3.85E+03,3.99E+03,4.83E+03
4.02E+03,3.88E+03,4.03E+03,3.83E+03,4.05E+03,3.83E+03,4.09E+03,3.90E+03,4.05E+03,3.88E+03,4.01E+03,3.87E+03,4.04E+03,3.84E+03,4.01E+03,3.86E+03,3.99E+03,3.89E+03,4.06E+03,3.89E+03,4.02E+03,3.86E+03,4.00E+03,4.83E+03
4.08E+03,3.86E+03,4.06E+03,3.85E+03,4.05E+03,3.84E+03,4.08E+03,3.89E+03,4.07E+03,3.87E+03,4.05E+03,3.87E+03,4.06E+03,3.85E+03,4.06E+03,3.87E+03,4.05E+03,3.86E+03,4.10E+03,3.88E+03,4.02E+03,3.86E+03,4.02E+03,4.85E+03
4.06E+03,3.88E+03,4.05E+03,3.85E+03,4.05E+03,3.86E+03,4.07E+03,3.89E+03,4.09E+03,3.87E+03,4.05E+03,3.86E+03,4.07E+03,3.85E+03,4.04E+03,3.89E+03,4.04E+03,3.90E+03,4.10E+03,3.90E+03,4.04E+03,3.87E+03,4.02E+03,4.84E+03
4.10E+03,3.90E+03,4.10E+03,3.86E+03,4.08E+03,3.83E+03,4.10E+03,3.88E+03,4.10E+03,3.88E+03,4.07E+03,3.89E+03,4.10E+03,3.87E+03,4.06E+03,3.85E+03,4.06E+03,3.87E+03,4.11E+03,3.90E+03,4.06E+03,3.85E+03,4.05E+03,4.86E+03
4.08E+03,3.93E+03,4.09E+03,3.86E+03,4.07E+03,3.87E+03,4.10E+03,3.89E+03,4.10E+03,3.88E+03,4.05E+03,3.88E+03,4.10E+03,3.81E+03,4.08E+03,3.84E+03,4.05E+03,3.88E+03,4.12E+03,3.85E+03,4.04E+03,3.84E+03,4.03E+03,4.88E+03
4.11E+03,3.88E+03,4.10E+03,3.88E+03,4.07E+03,3.87E+03,4.10E+03,3.86E+03,4.11E+03,3.90E+03,4.05E+03,3.85E+03,4.11E+03,3.85E+03,4.09E+03,3.84E+03,4.08E+03,3.89E+03,4.12E+03,3.86E+03,4.04E+03,3.89E+03,4.04E+03,4.95E+03
