Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 12:47,28/06/2024 12:48,28/06/2024 12:49,28/06/2024 12:52,28/06/2024 12:52,28/06/2024 12:53,28/06/2024 12:54,28/06/2024 12:55,28/06/2024 12:56,28/06/2024 13:01,28/06/2024 13:02,28/06/2024 13:02,28/06/2024 13:04,28/06/2024 13:05,28/06/2024 13:05,28/06/2024 13:08,28/06/2024 13:09,28/06/2024 13:09,28/06/2024 13:13,28/06/2024 13:14,28/06/2024 13:14,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:20,28/06/2024 13:20,28/06/2024 13:21,28/06/2024 13:26,28/06/2024 13:26,28/06/2024 13:27
Name,DG-1-I-03-T-D2,DG-1-I-03-M-D2,DG-1-I-03-L-D2,DG-1-I-06-T-D2,DG-1-I-06-M-D2,DG-1-I-06-L-D2,DG-1-I-09-T-D2,DG-1-I-09-M-D2,DG-1-I-09-L-D2,DG-1-I-12-T-D2,DG-1-I-12-M-D2,DG-1-I-12-L-D2,DG-1-I-15-T-D2,DG-1-I-15-T-D2,DG-1-I-15-L-D2,DG-1-I-18-T-D2,DG-1-I-18-M-D2,DG-1-I-18-L-D2,DG-1-I-21-T-D2,DG-1-I-21-M-D2,DG-1-I-21-L-D2,DG-1-I-24-T-D2,DG-1-I-24-M-D2,DG-1-I-24-L-D2,DG-1-I-27-T-D2,DG-1-I-27-M-D2,DG-1-I-27-L-D2,DG-1-I-30-T-D2,DG-1-I-30-M-D2,DG-1-I-30-L-D2
GPS,12° 44.5236' N  36° 8.1764' E,12° 44.5236' N  36° 8.1764' E,12° 44.5236' N  36° 8.1764' E,12° 44.5246' N  36° 8.2049' E,12° 44.5246' N  36° 8.2049' E,12° 44.5246' N  36° 8.2049' E,12° 44.5323' N  36° 8.1981' E,12° 44.5323' N  36° 8.1981' E,12° 44.5323' N  36° 8.1981' E,12° 44.5565' N  36° 8.1644' E,12° 44.5587' N  36° 8.1633' E,12° 44.5587' N  36° 8.1633' E,12° 44.5568' N  36° 8.1570' E,12° 44.5568' N  36° 8.1570' E,12° 44.5568' N  36° 8.1570' E,12° 44.5505' N  36° 8.1337' E,12° 44.5505' N  36° 8.1337' E,12° 44.5505' N  36° 8.1337' E,12° 44.5799' N  36° 8.1171' E,12° 44.5799' N  36° 8.1171' E,12° 44.5799' N  36° 8.1171' E,12° 44.5800' N  36° 8.1141' E,12° 44.5799' N  36° 8.1138' E,12° 44.5799' N  36° 8.1138' E,12° 44.5568' N  36° 8.1051' E,12° 44.5568' N  36° 8.1051' E,12° 44.5568' N  36° 8.1051' E,12° 44.5493' N  36° 8.1300' E,12° 44.5493' N  36° 8.1300' E,12° 44.5493' N  36° 8.1300' E
-----------------------End of Scope ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 12:47,28/06/2024 12:48,28/06/2024 12:49,28/06/2024 12:52,28/06/2024 12:52,28/06/2024 12:53,28/06/2024 12:54,28/06/2024 12:55,28/06/2024 12:56,28/06/2024 13:01,28/06/2024 13:02,28/06/2024 13:02,28/06/2024 13:04,28/06/2024 13:05,28/06/2024 13:05,28/06/2024 13:08,28/06/2024 13:09,28/06/2024 13:09,28/06/2024 13:13,28/06/2024 13:14,28/06/2024 13:14,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:20,28/06/2024 13:20,28/06/2024 13:21,28/06/2024 13:26,28/06/2024 13:26,28/06/2024 13:27
Name,DG-1-I-03-T-D2,DG-1-I-03-M-D2,DG-1-I-03-L-D2,DG-1-I-06-T-D2,DG-1-I-06-M-D2,DG-1-I-06-L-D2,DG-1-I-09-T-D2,DG-1-I-09-M-D2,DG-1-I-09-L-D2,DG-1-I-12-T-D2,DG-1-I-12-M-D2,DG-1-I-12-L-D2,DG-1-I-15-T-D2,DG-1-I-15-T-D2,DG-1-I-15-L-D2,DG-1-I-18-T-D2,DG-1-I-18-M-D2,DG-1-I-18-L-D2,DG-1-I-21-T-D2,DG-1-I-21-M-D2,DG-1-I-21-L-D2,DG-1-I-24-T-D2,DG-1-I-24-M-D2,DG-1-I-24-L-D2,DG-1-I-27-T-D2,DG-1-I-27-M-D2,DG-1-I-27-L-D2,DG-1-I-30-T-D2,DG-1-I-30-M-D2,DG-1-I-30-L-D2
GPS,12° 44.5236' N  36° 8.1764' E,12° 44.5236' N  36° 8.1764' E,12° 44.5236' N  36° 8.1764' E,12° 44.5246' N  36° 8.2049' E,12° 44.5246' N  36° 8.2049' E,12° 44.5246' N  36° 8.2049' E,12° 44.5323' N  36° 8.1981' E,12° 44.5323' N  36° 8.1981' E,12° 44.5323' N  36° 8.1981' E,12° 44.5565' N  36° 8.1644' E,12° 44.5587' N  36° 8.1633' E,12° 44.5587' N  36° 8.1633' E,12° 44.5568' N  36° 8.1570' E,12° 44.5568' N  36° 8.1570' E,12° 44.5568' N  36° 8.1570' E,12° 44.5505' N  36° 8.1337' E,12° 44.5505' N  36° 8.1337' E,12° 44.5505' N  36° 8.1337' E,12° 44.5799' N  36° 8.1171' E,12° 44.5799' N  36° 8.1171' E,12° 44.5799' N  36° 8.1171' E,12° 44.5800' N  36° 8.1141' E,12° 44.5799' N  36° 8.1138' E,12° 44.5799' N  36° 8.1138' E,12° 44.5568' N  36° 8.1051' E,12° 44.5568' N  36° 8.1051' E,12° 44.5568' N  36° 8.1051' E,12° 44.5493' N  36° 8.1300' E,12° 44.5493' N  36° 8.1300' E,12° 44.5493' N  36° 8.1300' E
-----------------------End of Absorbance ----------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmitance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,28/06/2024 12:47,28/06/2024 12:48,28/06/2024 12:49,28/06/2024 12:52,28/06/2024 12:52,28/06/2024 12:53,28/06/2024 12:54,28/06/2024 12:55,28/06/2024 12:56,28/06/2024 13:01,28/06/2024 13:02,28/06/2024 13:02,28/06/2024 13:04,28/06/2024 13:05,28/06/2024 13:05,28/06/2024 13:08,28/06/2024 13:09,28/06/2024 13:09,28/06/2024 13:13,28/06/2024 13:14,28/06/2024 13:14,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:15,28/06/2024 13:20,28/06/2024 13:20,28/06/2024 13:21,28/06/2024 13:26,28/06/2024 13:26,28/06/2024 13:27
