"","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","nm","refl","Tree_ID","r800","NDVI","SR","MCARI","G","TCARI","SPRI","PRI","SIPI","ARI1","ARI2","CRI1","CRI2"
"1","AW-1-I-03-L-D2","AW-1",1,"I",3,"L","D2",793,0.369257622783168,"AW-1-I-03-L",0.369257622783168,0.52256428881955,3.17979481340417,0.126948291800767,1.51336694142625,0.214413446635463,0.560674434046775,-0.0210662256647645,0.58259926086832,0.776871245315557,0.286865629253822,2.39950171345657,3.17637295877213
"2","AW-1-I-03-M-D2","AW-1",1,"I",3,"M","D2",793,0.405699039386272,"AW-1-I-03-M",0.405699039386272,0.613101640624982,4.13199683129303,0.167119414634925,1.91161140656183,0.265140797788386,0.750081964403905,0.0168528076871984,0.613861820775065,-0.0343727826540876,-0.0139450049037965,2.64150888971151,2.60713610705742
"3","AW-1-I-03-T-D2","AW-1",1,"I",3,"T","D2",793,0.403703459580597,"AW-1-I-03-T",0.403703459580597,0.630735909927037,4.38706809869197,0.166588661778185,2.03018929066139,0.26309718641694,0.73736879575406,0.0117861037430331,0.622740645614699,-0.199058426403435,-0.0803605753977364,2.87623257327049,2.67717414686706
"4","AW-1-I-06-L-D2","AW-1",1,"I",6,"L","D2",793,0.417271167340688,"AW-1-I-06-L",0.417271167340688,0.549679893992544,3.43939025784451,0.183518213693501,1.83923345096522,0.295985431873084,0.668618228874481,-0.00096555280669901,0.564680447473338,0.15916061427759,0.0664131353142708,2.04549524126198,2.20465585553957
"5","AW-1-I-06-M-D2","AW-1",1,"I",6,"M","D2",793,0.351896376248259,"AW-1-I-06-M",0.351896376248259,0.694526701226295,5.50009197586184,0.143208734997449,2.0422126879651,0.20666207495797,0.881874757724687,0.022560584235808,0.687510457060692,0.00951520053422961,0.0033483645872709,4.65713109022095,4.66664629075518
"6","AW-1-I-06-T-D2","AW-1",1,"I",6,"T","D2",793,0.388861865611283,"AW-1-I-06-T",0.388861865611283,0.549203481521553,3.43768064421033,0.158890651417247,1.78312572508421,0.263670434181195,0.597095310883951,-0.000944946184298253,0.567142847171287,0.120140283642125,0.0467179748321454,2.054037720579,2.17417800422113
"7","AW-1-I-09-L-D2","AW-1",1,"I",9,"L","D2",793,0.395446241437432,"AW-1-I-09-L",0.395446241437432,0.638633032140078,4.53784192011206,0.177062793847296,2.0586380393029,0.266784606843758,0.817397822830157,0.0141727621911889,0.630948758676302,-0.103388013178661,-0.040884401221185,3.12244388944844,3.01905587626978
"8","AW-1-I-09-M-D2","AW-1",1,"I",9,"M","D2",793,0.393974649071743,"AW-1-I-09-M",0.393974649071743,0.662308062953783,4.94413228960382,0.200092328771469,2.22361719553672,0.28391008733511,0.863332751388578,0.0175492327859989,0.638278555477406,-0.225886319733052,-0.0889934835469365,3.46871944667486,3.24283312694181
"9","AW-1-I-09-T-D2","AW-1",1,"I",9,"T","D2",793,0.436128788969746,"AW-1-I-09-T",0.436128788969746,0.558945102068806,3.5011304323537,0.16095039858677,1.77260114865531,0.275832475396525,0.766833375047672,0.010320716597959,0.567692472236789,0.0472489590797958,0.0206066313035524,1.95678303133076,2.00403199041055
"10","AW-1-I-12-L-D2","AW-1",1,"I",12,"L","D2",793,0.404881497190907,"AW-1-I-12-L",0.404881497190907,0.598220390429703,3.97966569666476,0.158365288078996,1.85709393685374,0.256646499051138,0.692038903438997,0.00447920893030466,0.608738251831748,0.0403798411550715,0.0163490505431964,2.53978254542277,2.58016238657784
"11","AW-1-I-12-M-D2","AW-1",1,"I",12,"M","D2",793,0.38539877584063,"AW-1-I-12-M",0.38539877584063,0.709603272822866,5.86468112472934,0.143913271604,2.05253449170125,0.211746826267402,0.866004342580108,0.0259927821475026,0.693340896487618,-0.151747642503871,-0.0584833556576934,4.17665945621973,4.02491181371586
"12","AW-1-I-12-T-D2","AW-1",1,"I",12,"T","D2",793,0.407341339439011,"AW-1-I-12-T",0.407341339439011,0.585964884487058,3.8072416378719,0.175441677949545,1.91219487049543,0.279591260260323,0.632568225560958,0.00998134871804793,0.593974023022245,0.0405203876746665,0.0165056289899866,2.13235641780594,2.1728768054806
"13","AW-1-I-15-L-D2","AW-1",1,"I",15,"L","D2",793,0.448160276992021,"AW-1-I-15-L",0.448160276992021,0.624158488571285,4.34806039078034,0.14926165677485,1.83921601697013,0.250145053389213,0.766207386926317,0.0112332622565657,0.626159973126322,-0.0778682917010967,-0.034897475177659,2.66838770504414,2.59051941334304
"14","AW-1-I-15-M-D2","AW-1",1,"I",15,"M","D2",793,0.441427054576343,"AW-1-I-15-M",0.441427054576343,0.656031466765521,4.77702503180942,0.147705021467236,1.9058427392042,0.240327721267796,0.819130201374216,0.0165542695511645,0.652090643794694,-0.0970093006691046,-0.0428225298608737,2.99153087937925,2.89452157871015
"15","AW-1-I-15-T-D2","AW-1",1,"I",15,"T","D2",793,0.407717670057288,"AW-1-I-15-T",0.407717670057288,0.65173649883049,4.69809888738554,0.176669472204343,2.0203185516858,0.265048154600676,0.828997498800409,0.0152536377190812,0.640991953661793,-0.06485419460091,-0.026442201116125,3.23708460358941,3.1722304089885
"16","AW-1-I-18-L-D2","AW-1",1,"I",18,"L","D2",793,0.365875538801524,"AW-1-I-18-L",0.365875538801524,0.644062900774299,4.59695621836565,0.134838796395229,1.92705658332539,0.214881602936264,0.848887261005216,0.0159098195193208,0.638273252898751,-0.080375426831119,-0.0294074025982381,3.44919742557394,3.36882199874282
"17","AW-1-I-18-M-D2","AW-1",1,"I",18,"M","D2",793,0.410213427274931,"AW-1-I-18-M",0.410213427274931,0.637708912145203,4.50782501801205,0.166797395343579,2.01651112772237,0.261244535014876,0.813143850390688,0.0164570704359449,0.620940237398184,-0.154620238161164,-0.0634272978221572,2.74051523339156,2.5858949952304
"18","AW-1-I-18-T-D2","AW-1",1,"I",18,"T","D2",793,0.422589715281263,"AW-1-I-18-T",0.422589715281263,0.559623543919715,3.52393348561017,0.162686874180406,1.80742501139284,0.274371941988518,0.683688068261897,0.00865938448381471,0.572122918307915,0.0612045738949982,0.0258644234561983,1.93174979748906,1.99295437138406
"19","AW-1-I-21-L-D2","AW-1",1,"I",21,"L","D2",793,0.420927834791344,"AW-1-I-21-L",0.420927834791344,0.647320431845079,4.65289706201857,0.157109685560863,1.96635103562709,0.250301507372769,0.883010048779421,0.0193393972366564,0.63149229291996,-0.154894901391404,-0.0651995754629024,2.88005866982464,2.72516376843324
"20","AW-1-I-21-M-D2","AW-1",1,"I",21,"M","D2",793,0.420575688648928,"AW-1-I-21-M",0.420575688648928,0.547864506740528,3.40010138697344,0.153347179149009,1.7074332661704,0.264729680260135,0.645610824046347,0.00415429828541548,0.562908102251742,0.0971009247454884,0.0408382882932815,1.84423129554801,1.9413322202935
"21","AW-1-I-21-T-D2","AW-1",1,"I",21,"T","D2",793,0.403929625901119,"AW-1-I-21-T",0.403929625901119,0.636279128245946,4.47973346928001,0.164596727508942,1.9096998531294,0.252309721966828,0.698586382449293,0.00878653178174368,0.63390538725096,0.0926401755151431,0.0374201114392458,2.85482236205344,2.94746253756858
"22","AW-1-I-24-L-D2","AW-1",1,"I",24,"L","D2",793,0.441211286318923,"AW-1-I-24-L",0.441211286318923,0.607048382116147,4.0373916001878,0.162579080091733,1.77864022829666,0.263871340595901,0.79734490399942,0.00375355718329603,0.607314467385885,0.166649325933574,0.0735275634593336,2.28854440064935,2.45519372658292
"23","AW-1-I-24-M-D2","AW-1",1,"I",24,"M","D2",793,0.387484934078801,"AW-1-I-24-M",0.387484934078801,0.690709259438885,5.39599411571414,0.158396795534847,2.00049316655012,0.228507653051138,0.869749990123614,0.0271440198120756,0.679065865285802,0.0743862662964228,0.0288235574922375,3.93435242210444,4.00873868840086
"24","AW-1-I-24-T-D2","AW-1",1,"I",24,"T","D2",793,0.420997560014204,"AW-1-I-24-T",0.420997560014204,0.664905565115679,4.96424718678851,0.143947606496507,1.87798756806616,0.22777281280904,0.845530236606458,0.0181428186539192,0.660263576159419,0.00288214412886667,0.00121337564586213,3.21128852944936,3.21417067357823
"25","AW-1-I-27-L-D2","AW-1",1,"I",27,"L","D2",793,0.430766579723472,"AW-1-I-27-L",0.430766579723472,0.65548199826292,4.76006797421871,0.134336129680757,1.8732881780391,0.223785199741269,0.892619345649793,0.0165678981538815,0.649740252720486,-0.107515792030497,-0.0463142099992371,3.12283146429587,3.01531567226538
"26","AW-1-I-27-M-D2","AW-1",1,"I",27,"M","D2",793,0.413966402977996,"AW-1-I-27-M",0.413966402977996,0.585741128265215,3.79494131349733,0.152793880825405,1.76631699943258,0.25167551274778,0.671996580420952,0.00546509275907346,0.604329579468517,0.212237518409276,0.087859202072864,2.26150787122511,2.47374538963439
"27","AW-1-I-27-T-D2","AW-1",1,"I",27,"T","D2",793,0.427366805816503,"AW-1-I-27-T",0.427366805816503,0.664535533195754,4.95943037289135,0.19883735622024,2.22257398802103,0.291380794854014,0.845786893323903,0.0138366844606166,0.65391681475968,-0.248398436204514,-0.106157246250538,3.29423989499481,3.0458414587903
"28","AW-1-I-30-L-D2","AW-1",1,"I",30,"L","D2",793,0.426506245322616,"AW-1-I-30-L",0.426506245322616,0.670742254909633,5.06367587796537,0.163446041520248,2.00132072392776,0.250275395706855,0.839636004000989,0.0155844466865926,0.657774898016668,-0.119080166517602,-0.0507884347138142,3.32575426457143,3.20667409805382
"29","AW-1-I-30-M-D2","AW-1",1,"I",30,"M","D2",793,0.444359195871015,"AW-1-I-30-M",0.444359195871015,0.665526177894438,4.91107627633186,0.217485146485557,2.16773260851764,0.311955124356935,0.833898875523006,0.0142195855767783,0.644552261304474,-0.164258489363552,-0.0729897702485755,3.09166012440943,2.92740163504588
"30","AW-1-I-30-T-D2","AW-1",1,"I",30,"T","D2",793,0.419809138086072,"AW-1-I-30-T",0.419809138086072,0.649665013341196,4.71086433325473,0.191482813472474,2.13008991054883,0.285058857481625,0.841027972159204,0.0180497732722294,0.640114057571004,-0.165568484287435,-0.0695071626829256,3.06964934790692,2.90408086361948
"31","AW-1-O-1-L-D2","AW-1",1,"O",1,"L","D2",793,0.496147823920857,"AW-1-O-1-L",0.496147823920857,0.609056819464089,4.08243816384228,0.18869954322768,1.97683203897969,0.314132486267059,1.00514863247453,0.0171391035670231,0.572867502465242,-0.194048641449856,-0.0962768111901448,1.58060985711872,1.38656121566886
"32","AW-1-O-1-M-D2","AW-1",1,"O",1,"M","D2",793,0.481695827335921,"AW-1-O-1-M",0.481695827335921,0.514840914190608,3.11962209994803,0.177681309669025,1.57771528592294,0.30088379011771,0.743034794828484,-0.0113384308125026,0.532380389959989,0.421800328195082,0.203179458060493,1.40076381436574,1.82256414256082
