"","Time","Name","GPS","NDVI","SR","OSAVI","ZMI","Ctr2","Lic1","GM2","MCARI1","G","MCARI","TCARI","TVI","SPRI","NPQI","PRI","NPCI","Ctr1","Lic2","SIPI","GM1","ARI1","ARI2","CRI1","CRI2","Date","Datetime","ID","Location","site_num","Tapping","Tree_num","C_pos.","Device","ID2","Tree_ID","Coordinates"
"V2...1","25/06/2024 09:57","AW-1-I-03-T-D1","12° 41.7635' N  36° 18.8299' E",0.437421373,"2.555058625",0.504367743,"1.541528992","0.394344264","0.585494573","2.073177402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:57:00,"AW-1-I-03-T-D1","AW-1","1","I","03","T","D1","AW-02-I-03-T-D1","AW-1-I-03-T","12° 41.7635' N  36° 18.8299' E"
"V3...2","25/06/2024 09:58","AW-1-I-03-M-D1","12° 41.7635' N  36° 18.8299' E",0.49868349,"2.989495582",0.557539024,"1.652194404","0.333716348","0.642013566","2.364465554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:58:00,"AW-1-I-03-M-D1","AW-1","1","I","03","M","D1","AW-02-I-03-M-D1","AW-1-I-03-M","12° 41.7635' N  36° 18.8299' E"
"V4...3","25/06/2024 09:59","AW-1-I-03-L-D1","12° 41.7635' N  36° 18.8299' E",0.524967062,"3.210234367",0.577190441,"1.706810883","0.315433419","0.660272532","2.477698792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 09:59:00,"AW-1-I-03-L-D1","AW-1","1","I","03","L","D1","AW-02-I-03-L-D1","AW-1-I-03-L","12° 41.7635' N  36° 18.8299' E"
"V5...4","25/06/2024 10:00","AW-1-I-06-T-D1","12° 41.7655' N  36° 18.8324' E",0.510133953,"3.082748772",0.561108445,"1.66029689","0.327201294","0.650748505","2.395812641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:00:00,"AW-1-I-06-T-D1","AW-1","1","I","06","T","D1","AW-02-I-06-T-D1","AW-1-I-06-T","12° 41.7655' N  36° 18.8324' E"
"V6...5","25/06/2024 10:00","AW-1-I-06-M-D1","12° 41.7655' N  36° 18.8324' E",0.52759142,"3.233623362",0.538855427,"1.717593317","0.31988313","0.634070951","2.4804595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:00:00,"AW-1-I-06-M-D1","AW-1","1","I","06","M","D1","AW-02-I-06-M-D1","AW-1-I-06-M","12° 41.7655' N  36° 18.8324' E"
"V7...6","25/06/2024 10:01","AW-1-I-06-L-D1","12° 41.7655' N  36° 18.8324' E",0.458377817,"2.69261094",0.529893158,"1.530914607","0.37292095","0.618891306","2.127119244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:01:00,"AW-1-I-06-L-D1","AW-1","1","I","06","L","D1","AW-02-I-06-L-D1","AW-1-I-06-L","12° 41.7655' N  36° 18.8324' E"
"V8...7","25/06/2024 10:02","AW-1-I-09-T-D1","12° 41.7655' N  36° 18.8324' E",0.392513997,"2.292256926",0.467855638,"1.457125684","0.452637733","0.540073033","1.861050837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-T-D1","AW-1","1","I","09","T","D1","AW-02-I-09-T-D1","AW-1-I-09-T","12° 41.7655' N  36° 18.8324' E"
"V9...8","25/06/2024 10:02","AW-1-I-09-M-D1","12° 41.7655' N  36° 18.8324' E",0.470411787,"2.776519094",0.549325689,"1.557518548","0.361408742","0.628013441","2.185297764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-M-D1","AW-1","1","I","09","M","D1","AW-02-I-09-M-D1","AW-1-I-09-M","12° 41.7655' N  36° 18.8324' E"
"V10...9","25/06/2024 10:02","AW-1-I-09-L-D1","12° 41.7655' N  36° 18.8324' E",0.473661265,"2.79983434",0.551330697,"1.560442974","0.358655742","0.631185433","2.195707999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:02:00,"AW-1-I-09-L-D1","AW-1","1","I","09","L","D1","AW-02-I-09-L-D1","AW-1-I-09-L","12° 41.7655' N  36° 18.8324' E"
"V11...10","25/06/2024 10:05","AW-1-I-12-T-D1","12° 41.7683' N  36° 18.8337' E",0.540871862,"3.356082396",0.583005871,"1.740782856","0.301223747","0.681231822","2.563983003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:05:00,"AW-1-I-12-T-D1","AW-1","1","I","12","T","D1","AW-02-I-12-T-D1","AW-1-I-12-T","12° 41.7683' N  36° 18.8337' E"
"V12...11","25/06/2024 10:06","AW-1-I-12-M-D1","12° 41.7683' N  36° 18.8337' E",0.571842958,"3.671183241",0.564347164,"1.883617432","0.276859158","0.67893042","2.816271602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:06:00,"AW-1-I-12-M-D1","AW-1","1","I","12","M","D1","AW-02-I-12-M-D1","AW-1-I-12-M","12° 41.7683' N  36° 18.8337' E"
"V13...12","25/06/2024 10:06","AW-1-I-12-L-D1","12° 41.7683' N  36° 18.8337' E",0.434671534,"2.537766309",0.497743886,"1.555377068","0.399251728","0.571237856","2.075255806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:06:00,"AW-1-I-12-L-D1","AW-1","1","I","12","L","D1","AW-02-I-12-L-D1","AW-1-I-12-L","12° 41.7683' N  36° 18.8337' E"
"V14...13","25/06/2024 10:07","AW-1-I-15-T-D1","12° 41.7743' N  36° 18.8417' E",0.448908571,"2.629161867",0.5095565,"1.545098393","0.392218644","0.584488304","2.086009563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:07:00,"AW-1-I-15-T-D1","AW-1","1","I","15","T","D1","AW-02-I-15-T-D1","AW-1-I-15-T","12° 41.7743' N  36° 18.8417' E"
"V15...14","25/06/2024 10:08","AW-1-I-15-M-D1","12° 41.7743' N  36° 18.8417' E",0.546760417,"3.412677252",0.582636927,"1.796295504","0.293607398","0.665088136","2.657760276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:08:00,"AW-1-I-15-M-D1","AW-1","1","I","15","M","D1","AW-02-I-15-M-D1","AW-1-I-15-M","12° 41.7743' N  36° 18.8417' E"
"V16...15","25/06/2024 10:09","AW-1-I-15-L-D1","12° 41.7743' N  36° 18.8417' E",0.543216748,"3.378444243",0.58948954,"1.748431473","0.296718256","0.674445659","2.603724222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:09:00,"AW-1-I-15-L-D1","AW-1","1","I","15","L","D1","AW-02-I-15-L-D1","AW-1-I-15-L","12° 41.7743' N  36° 18.8417' E"
"V17...16","25/06/2024 10:10","AW-1-I-18-T-D1","12° 41.7743' N  36° 18.8417' E",0.438763329,"2.563559018",0.501825359,"1.528837611","0.403089303","0.587149035","2.03752987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:10:00,"AW-1-I-18-T-D1","AW-1","1","I","18","T","D1","AW-02-I-18-T-D1","AW-1-I-18-T","12° 41.7743' N  36° 18.8417' E"
"V18...17","25/06/2024 10:11","AW-1-I-18-M-D1","12° 41.7743' N  36° 18.8417' E",0.490902253,"2.928518665",0.550350151,"1.610370927","0.339828874","0.631922145","2.312557998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:11:00,"AW-1-I-18-M-D1","AW-1","1","I","18","M","D1","AW-02-I-18-M-D1","AW-1-I-18-M","12° 41.7743' N  36° 18.8417' E"
"V19...18","25/06/2024 10:12","AW-1-I-18-L-D1","12° 41.7743' N  36° 18.8417' E",0.536233131,"3.312511597",0.562208582,"1.731833475","0.302804839","0.661304279","2.566739014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:12:00,"AW-1-I-18-L-D1","AW-1","1","I","18","L","D1","AW-02-I-18-L-D1","AW-1-I-18-L","12° 41.7743' N  36° 18.8417' E"
"V20...19","25/06/2024 10:15","AW-1-I-21-T-D1","12° 41.7765' N  36° 18.8362' E",0.51990832,"3.165870983",0.568351888,"1.68596884","0.321298115","0.650281917","2.441182702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:15:00,"AW-1-I-21-T-D1","AW-1","1","I","21","T","D1","AW-02-I-21-T-D1","AW-1-I-21-T","12° 41.7765' N  36° 18.8362' E"
"V21...20","25/06/2024 10:15","AW-1-I-21-M-D1","12° 41.7765' N  36° 18.8362' E",0.529125516,"3.247416385",0.563827765,"1.733770591","0.311448896","0.658884539","2.513621529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:15:00,"AW-1-I-21-M-D1","AW-1","1","I","21","M","D1","AW-02-I-21-M-D1","AW-1-I-21-M","12° 41.7765' N  36° 18.8362' E"
"V22...21","25/06/2024 10:16","AW-1-I-21-L-D1","12° 41.7765' N  36° 18.8362' E",0.445891288,"2.609400026",0.500709071,"1.565653239","0.392162417","0.577237216","2.099525032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:16:00,"AW-1-I-21-L-D1","AW-1","1","I","21","L","D1","AW-02-I-21-L-D1","AW-1-I-21-L","12° 41.7765' N  36° 18.8362' E"
"V23...22","25/06/2024 10:16","AW-1-I-24-T-D1","12° 41.7771' N  36° 18.8332' E",0.525309141,"3.213268406",0.551958359,"1.75079318","0.319675552","0.635709229","2.502739783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:16:00,"AW-1-I-24-T-D1","AW-1","1","I","24","T","D1","AW-02-I-24-T-D1","AW-1-I-24-T","12° 41.7771' N  36° 18.8332' E"
"V24...23","25/06/2024 10:17","AW-1-I-24-M-D1","12° 41.7771' N  36° 18.8332' E",0.550798363,"3.452343525",0.567812826,"1.739576392","0.303384682","0.660256822","2.565658862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:17:00,"AW-1-I-24-M-D1","AW-1","1","I","24","M","D1","AW-02-I-24-M-D1","AW-1-I-24-M","12° 41.7771' N  36° 18.8332' E"
"V25...24","25/06/2024 10:17","AW-1-I-24-L-D1","12° 41.7771' N  36° 18.8332' E",0.566329534,"3.611796641",0.59269357,"1.8559341","0.281662333","0.673326967","2.769857958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:17:00,"AW-1-I-24-L-D1","AW-1","1","I","24","L","D1","AW-02-I-24-L-D1","AW-1-I-24-L","12° 41.7771' N  36° 18.8332' E"
"V26...25","25/06/2024 10:18","AW-1-I-27-T-D1","12° 41.7771' N  36° 18.8332' E",0.476862724,"2.8230883",0.542550794,"1.583005396","0.354194047","0.628152613","2.229419956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:18:00,"AW-1-I-27-T-D1","AW-1","1","I","27","T","D1","AW-02-I-27-T-D1","AW-1-I-27-T","12° 41.7771' N  36° 18.8332' E"
"V27...26","25/06/2024 10:18","AW-1-I-27-M-D1","12° 41.7771' N  36° 18.8332' E",0.506341358,"3.051382534",0.551305551,"1.671395711","0.337469436","0.630896886","2.360656031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:18:00,"AW-1-I-27-M-D1","AW-1","1","I","27","M","D1","AW-02-I-27-M-D1","AW-1-I-27-M","12° 41.7771' N  36° 18.8332' E"
"V28...27","25/06/2024 10:19","AW-1-I-27-L-D1","12° 41.7798' N  36° 18.8337' E",0.544519911,"3.390971299",0.57316426,"1.783547935","0.299987621","0.655878375","2.6165933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:19:00,"AW-1-I-27-L-D1","AW-1","1","I","27","L","D1","AW-02-I-27-L-D1","AW-1-I-27-L","12° 41.7798' N  36° 18.8337' E"
"V29...28","25/06/2024 10:20","AW-1-I-30-T-D1","12° 41.7798' N  36° 18.8337' E",0.492163255,"2.938273509",0.556281806,"1.597419166","0.343097091","0.649023166","2.277675534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:20:00,"AW-1-I-30-T-D1","AW-1","1","I","30","T","D1","AW-02-I-30-T-D1","AW-1-I-30-T","12° 41.7798' N  36° 18.8337' E"
"V30...29","25/06/2024 10:21","AW-1-I-30-M-D1","12° 41.7798' N  36° 18.8337' E",0.461446674,"2.713652674",0.541965344,"1.551854185","0.37109414","0.618747562","2.148666141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:21:00,"AW-1-I-30-M-D1","AW-1","1","I","30","M","D1","AW-02-I-30-M-D1","AW-1-I-30-M","12° 41.7798' N  36° 18.8337' E"
"V31...30","25/06/2024 10:21","AW-1-I-30-L-D1","12° 41.7798' N  36° 18.8337' E",0.527607944,"3.233771451",0.556564809,"1.718458979","0.311339187","0.664145511","2.500640349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-25,2024-06-25 10:21:00,"AW-1-I-30-L-D1","AW-1","1","I","30","L","D1","AW-02-I-30-L-D1","AW-1-I-30-L","12° 41.7798' N  36° 18.8337' E"
"V2...31","25/06/2024 10:42","AW-1-I-03-T-D2","12° 41.7615' N  36° 18.8294' E",0.530648948,"3.261202765",0.551837963,"1.598147569","0.356693573","0.62951944","2.259624108",0.587888287,"1.988267969","0.165832311","-0.158075081","22.07554925","0.745966955","-0.124122513",0.012981845,"0.145497052","2.227696081","0.662747106","0.62190759","2.218081361",-0.103643611,"-0.042063701",2.875649082,"2.772005471",2024-06-25,2024-06-25 10:42:00,"AW-1-I-03-T-D2","AW-1","1","I","03","T","D2","AW-02-I-03-T-D2","AW-1-I-03-T","12° 41.7615' N  36° 18.8294' E"
"V3...32","25/06/2024 10:43","AW-1-I-03-M-D2","12° 41.7615' N  36° 18.8294' E",0.50942941,"3.076885245",0.535769335,"1.560802606","0.372890243","0.610221873","2.130873514",0.578286157,"1.896718175","0.166964255","-0.15947208","21.48047501","0.760314491","-0.06810557",0.01088965,"0.136160618","2.152101005","0.659831796","0.61005104","2.137708656",0.01716462,"0.007035764",2.633978991,"2.651143611",2024-06-25,2024-06-25 10:43:00,"AW-1-I-03-M-D2","AW-1","1","I","03","M","D2","AW-02-I-03-M-D2","AW-1-I-03-M","12° 41.7615' N  36° 18.8294' E"
"V4...33","25/06/2024 10:44","AW-1-I-03-L-D2","12° 41.7615' N  36° 18.8294' E",0.428327959,"2.498509383",0.444191926,"1.433686401","0.474942896","0.522117788","1.8042941",0.43105863,"1.492653092","0.125277305","-0.128681176","16.32347426","0.561127943","-0.105167158",-0.022823519,"0.281124977","3.060471139","0.483774827","0.575390422","2.110666373",0.865371166,"0.316921299",2.434438204,"3.299809371",2024-06-25,2024-06-25 10:44:00,"AW-1-I-03-L-D2","AW-1","1","I","03","L","D2","AW-02-I-03-L-D2","AW-1-I-03-L","12° 41.7615' N  36° 18.8294' E"
"V5...34","25/06/2024 10:46","AW-1-I-06-T-D2","12° 41.7637' N  36° 18.8326' E",0.43226797,"2.522788738",0.481096533,"1.446350228","0.449719972","0.549360572","1.87580244",0.526227963,"1.783385176","0.159047117","-0.161442819","19.45642168","0.600721087","-0.088249502",0.000192957,"0.249436904","2.915139618","0.535099623","0.565105457","1.93236396",0.148103021,"0.057837983",2.051636207,"2.199739227",2024-06-25,2024-06-25 10:46:00,"AW-1-I-06-T-D2","AW-1","1","I","06","T","D2","AW-02-I-06-T-D2","AW-1-I-06-T","12° 41.7637' N  36° 18.8326' E"
"V6...35","25/06/2024 10:46","AW-1-I-06-M-D2","12° 41.7637' N  36° 18.8326' E",0.61117862,"4.143750074",0.577390481,"1.747090084","0.292165625","0.681129506","2.595662911",0.518572651,"2.029918724","0.145662345","-0.124959467","19.77963262","0.895083514","-0.028576459",0.021161381,"0.05536246","1.828630314","0.723232534","0.681738877","2.6197139",0.06911219,"0.024684761",4.603525933,"4.672638123",2024-06-25,2024-06-25 10:46:00,"AW-1-I-06-M-D2","AW-1","1","I","06","M","D2","AW-02-I-06-M-D2","AW-1-I-06-M","12° 41.7637' N  36° 18.8326' E"
"V7...36","25/06/2024 10:46","AW-1-I-06-L-D2","12° 41.7637' N  36° 18.8326' E",0.435848849,"2.545149194",0.489142262,"1.41779344","0.455030807","0.553563082","1.842581306",0.571554006,"1.840548314","0.184831251","-0.179020383","21.25296776","0.676174512","-0.106043013",-0.001270804,"0.193193183","2.4983278","0.57097737","0.561906168","1.912151806",0.168147186,"0.071078263",2.050965117,"2.219112304",2024-06-25,2024-06-25 10:46:00,"AW-1-I-06-L-D2","AW-1","1","I","06","L","D2","AW-02-I-06-L-D2","AW-1-I-06-L","12° 41.7637' N  36° 18.8326' E"
"V8...37","25/06/2024 10:47","AW-1-I-09-T-D2","12° 41.7668' N  36° 18.8336' E",0.465938109,"2.744884318",0.498712017,"1.498860272","0.418651356","0.561163655","1.972584718",0.584723077,"1.757435565","0.160570193","-0.172908953","21.8953886","0.774791729","-0.047923677",0.004813615,"0.126892788","2.077503982","0.670637899","0.561397245","2.01512353",0.098572509,"0.043253789",1.930938239,"2.029510749",2024-06-25,2024-06-25 10:47:00,"AW-1-I-09-T-D2","AW-1","1","I","09","T","D2","AW-02-I-09-T-D2","AW-1-I-09-T","12° 41.7668' N  36° 18.8336' E"
"V9...38","25/06/2024 10:47","AW-1-I-09-M-D2","12° 41.7668' N  36° 18.8336' E",0.552800243,"3.47227434",0.575951435,"1.566478433","0.344495446","0.661829083","2.255523264",0.60659987,"2.214712517","0.202131306","-0.175557969","22.46950422","0.874048125","-0.039962649",0.018662437,"0.067208453","1.962373461","0.704837792","0.638584628","2.193258035",-0.159884273,"-0.063170774",3.420112727,"3.260228455",2024-06-25,2024-06-25 10:47:00,"AW-1-I-09-M-D2","AW-1","1","I","09","M","D2","AW-02-I-09-M-D2","AW-1-I-09-M","12° 41.7668' N  36° 18.8336' E"
"V10...39","25/06/2024 10:48","AW-1-I-09-L-D2","12° 41.7668' N  36° 18.8336' E",0.537447087,"3.323829648",0.553165093,"1.596153681","0.360034918","0.635654865","2.230013627",0.581226002,"2.04108193","0.177188417","-0.161010747","21.87047912","0.824011807","-0.032808236",0.014419407,"0.09648413","2.057588539","0.66542355","0.627784812","2.203963915",-0.066411778,"-0.02626809",3.127935895,"3.061524117",2024-06-25,2024-06-25 10:48:00,"AW-1-I-09-L-D2","AW-1","1","I","09","L","D2","AW-02-I-09-L-D2","AW-1-I-09-L","12° 41.7668' N  36° 18.8336' E"
"V11...40","25/06/2024 10:51","AW-1-I-12-T-D2","12° 41.7702' N  36° 18.8335' E",0.470842687,"2.779594365",0.517156983,"1.510761567","0.415700112","0.584081549","1.996155493",0.579552912,"1.904665005","0.177158612","-0.169960673","21.49398469","0.642438023","-0.109381584",0.007440066,"0.21770196","2.649734105","0.592650234","0.592046009","2.018107541",0.054286764,"0.02246973",2.144645771,"2.198932535",2024-06-25,2024-06-25 10:51:00,"AW-1-I-12-T-D2","AW-1","1","I","12","T","D2","AW-02-I-12-T-D2","AW-1-I-12-T","12° 41.7702' N  36° 18.8335' E"
"V12...41","25/06/2024 10:51","AW-1-I-12-M-D2","12° 41.7702' N  36° 18.8335' E",0.631480261,"4.427117704",0.608171722,"1.853815912","0.275026669","0.705121217","2.802567741",0.576172197,"2.04976939","0.145673711","-0.12898452","21.84849233","0.863863511","-0.017414752",0.024990966,"0.073039945","1.902117629","0.738747781","0.691560161","2.766671146",-0.093911949,"-0.03658325",4.135978287,"4.042066339",2024-06-25,2024-06-25 10:51:00,"AW-1-I-12-M-D2","AW-1","1","I","12","M","D2","AW-02-I-12-M-D2","AW-1-I-12-M","12° 41.7702' N  36° 18.8335' E"
"V13...42","25/06/2024 10:52","AW-1-I-12-L-D2","12° 41.7702' N  36° 18.8335' E",0.499245666,"2.993974417",0.526460336,"1.563074352","0.390068247","0.597181195","2.102014418",0.566556607,"1.840055919","0.159550392","-0.155456586","21.0685626","0.702247659","-0.032709012",0.004541155,"0.174917169","2.287754488","0.616326246","0.607706392","2.140659161",0.097156579,"0.039584211",2.514229707,"2.611386285",2024-06-25,2024-06-25 10:52:00,"AW-1-I-12-L-D2","AW-1","1","I","12","L","D2","AW-02-I-12-L-D2","AW-1-I-12-L","12° 41.7702' N  36° 18.8335' E"
"V14...43","25/06/2024 10:53","AW-1-I-15-T-D2","12° 41.7734' N  36° 18.8412' E",0.558015058,"3.525041039",0.570669689,"1.634903764","0.342252562","0.645916508","2.294039565",0.604027017,"2.020884969","0.178767712","-0.159033022","22.52056869","0.837432543","-0.007575931",0.014433688,"0.088475333","1.930784623","0.730576452","0.637631384","2.302400508",0.02070122,"0.008633102",3.174013939,"3.194715159",2024-06-25,2024-06-25 10:53:00,"AW-1-I-15-T-D2","AW-1","1","I","15","T","D2","AW-02-I-15-T-D2","AW-1-I-15-T","12° 41.7734' N  36° 18.8412' E"
"V15...44","25/06/2024 10:54","AW-1-I-15-M-D2","12° 41.7734' N  36° 18.8412' E",0.582270558,"3.787787977",0.586230758,"1.749690652","0.315043228","0.654570678","2.543621881",0.637040978,"1.900928096","0.150140044","-0.148588152","24.13773719","0.829847758","-0.020490113",0.015054487,"0.092987103","1.941272483","0.728143585","0.650576966","2.51644851",-0.061682125,"-0.027675551",2.979884237,"2.918202111",2024-06-25,2024-06-25 10:54:00,"AW-1-I-15-M-D2","AW-1","1","I","15","M","D2","AW-02-I-15-M-D2","AW-1-I-15-M","12° 41.7734' N  36° 18.8412' E"
"V16...45","25/06/2024 10:54","AW-1-I-15-L-D2","12° 41.7734' N  36° 18.8412' E",0.546421531,"3.40938038",0.561988468,"1.674764543","0.340094004","0.624696905","2.364455879",0.630098054,"1.842709853","0.150697509","-0.156652405","23.71210728","0.776380776","-0.055794571",0.01017213,"0.125884735","1.90342144","0.714470191","0.626302246","2.342530404",-0.049568694,"-0.022326447",2.642595893,"2.593027199",2024-06-25,2024-06-25 10:54:00,"AW-1-I-15-L-D2","AW-1","1","I","15","L","D2","AW-02-I-15-L-D2","AW-1-I-15-L","12° 41.7734' N  36° 18.8412' E"
"V17...46","25/06/2024 10:57","AW-1-I-18-T-D2","12° 41.7756' N  36° 18.8415' E",0.452414809,"2.652399724",0.497606187,"1.479599101","0.436937082","0.564532337","1.941476908",0.571860146,"1.8072086","0.162368205","-0.170367253","21.11897883","0.689448231","-0.044445885",0.006704786,"0.183818458","2.396911398","0.579264279","0.568141038","1.974318198",0.079541092,"0.033537674",1.946437014,"2.025978106",2024-06-25,2024-06-25 10:57:00,"AW-1-I-18-T-D2","AW-1","1","I","18","T","D2","AW-02-I-18-T-D2","AW-1-I-18-T","12° 41.7756' N  36° 18.8415' E"
"V18...47","25/06/2024 10:58","AW-1-I-18-M-D2","12° 41.7756' N  36° 18.8415' E",0.532907713,"3.281809087",0.554339268,"1.587262376","0.351089715","0.628941362","2.261802443",0.588807135,"1.998416687","0.166049222","-0.157991218","21.95709392","0.81982788","-0.03162475",0.013633453,"0.099005033","2.039344048","0.68158087","0.617183762","2.211735308",-0.125986746,"-0.050920505",2.816256302,"2.690269556",2024-06-25,2024-06-25 10:58:00,"AW-1-I-18-M-D2","AW-1","1","I","18","M","D2","AW-02-I-18-M-D2","AW-1-I-18-M","12° 41.7756' N  36° 18.8415' E"
"V19...48","25/06/2024 10:58","AW-1-I-18-L-D2","12° 41.7756' N  36° 18.8415' E",0.557922534,"3.524093969",0.543542055,"1.663508388","0.333111436","0.642368533","2.367005626",0.518624027,"1.926780955","0.134784403","-0.130588215","19.52143169","0.850390362","-0.042987553",0.015289941,"0.080853014","1.822609673","0.714295412","0.63230575","2.344607068",-0.062777913,"-0.02280294",3.449512637,"3.386734724",2024-06-25,2024-06-25 10:58:00,"AW-1-I-18-L-D2","AW-1","1","I","18","L","D2","AW-02-I-18-L-D2","AW-1-I-18-L","12° 41.7756' N  36° 18.8415' E"
"V20...49","25/06/2024 11:01","AW-1-I-21-T-D2","12° 41.7763' N  36° 18.8346' E",0.533314455,"3.285540925",0.551963566,"1.620283289","0.357488315","0.631142171","2.248579004",0.572964514,"1.909712573","0.165571938","-0.150345425","21.58751843","0.704742309","-0.055365608",0.009191493,"0.173197843","2.413127687","0.616616928","0.628727162","2.293314088",0.113215224,"0.045517891",2.847894704,"2.961109928",2024-06-25,2024-06-25 11:01:00,"AW-1-I-21-T-D2","AW-1","1","I","21","T","D2","AW-02-I-21-T-D2","AW-1-I-21-T","12° 41.7763' N  36° 18.8346' E"
"V21...50","25/06/2024 11:01","AW-1-I-21-M-D2","12° 41.7763' N  36° 18.8346' E",0.440877732,"2.57703514",0.486721689,"1.484333639","0.44350189","0.5420276","1.925596136",0.555845619,"1.71008302","0.153598072","-0.167331169","20.6432064","0.650082494","-0.061828987",0.002753514,"0.212060614","2.345397363","0.581488401","0.557796649","1.975668156",0.121742711,"0.051236414",1.84280054,"1.964543251",2024-06-25,2024-06-25 11:01:00,"AW-1-I-21-M-D2","AW-1","1","I","21","M","D2","AW-02-I-21-M-D2","AW-1-I-21-M","12° 41.7763' N  36° 18.8346' E"
"V22...51","25/06/2024 11:01","AW-1-I-21-L-D2","12° 41.7763' N  36° 18.8346' E",0.554618586,"3.490533144",0.568828815,"1.684361299","0.332210114","0.645241281","2.390139907",0.608073302,"1.969558293","0.156873163","-0.153452854","22.73958172","0.88966422","-0.036501963",0.019376041,"0.058389093","1.778517461","0.735913625","0.628172185","2.326687895",-0.153923556,"-0.064632593",2.884479834,"2.730556278",2024-06-25,2024-06-25 11:01:00,"AW-1-I-21-L-D2","AW-1","1","I","21","L","D2","AW-02-I-21-L-D2","AW-1-I-21-L","12° 41.7763' N  36° 18.8346' E"
