"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"37377","LLT-2-T-03-L-D1","LLT-2","T",3,"L","12° 40.4591' N  36° 16.6893' E","LLT-2-T-03-L",12.6743183333333,36.278155
"37633","LLT-2-T-06-T-D1","LLT-2","T",6,"T","12° 40.4642' N  36° 16.6856' E","LLT-2-T-06-T",12.6744033333333,36.2780933333333
"37889","LLT-2-T-06-M-D1","LLT-2","T",6,"M","12° 40.4642' N  36° 16.6856' E","LLT-2-T-06-M",12.6744033333333,36.2780933333333
"38145","LLT-2-T-06-L-D1","LLT-2","T",6,"L","12° 40.4642' N  36° 16.6856' E","LLT-2-T-06-L",12.6744033333333,36.2780933333333
"38401","LLT-2-T-09-T-D1","LLT-2","T",9,"T","12° 40.4642' N  36° 16.6856' E","LLT-2-T-09-T",12.6744033333333,36.2780933333333
"38657","LLT-2-T-09-M-D1","LLT-2","T",9,"M","12° 40.4642' N  36° 16.6856' E","LLT-2-T-09-M",12.6744033333333,36.2780933333333
"38913","LLT-2-T-09-L-D1","LLT-2","T",9,"L","12° 40.4642' N  36° 16.6856' E","LLT-2-T-09-L",12.6744033333333,36.2780933333333
"39169","LLT-2-T-12-T-D1","LLT-2","T",12,"T","12° 40.4674' N  36° 16.6820' E","LLT-2-T-12-T",12.6744566666667,36.2780333333333
"39425","LLT-2-T-12-M-D1","LLT-2","T",12,"M","12° 40.4674' N  36° 16.6820' E","LLT-2-T-12-M",12.6744566666667,36.2780333333333
"39681","LLT-2-T-12-L-D1","LLT-2","T",12,"L","12° 40.4674' N  36° 16.6820' E","LLT-2-T-12-L",12.6744566666667,36.2780333333333
"39937","LLT-2-T-15-T-D1","LLT-2","T",15,"T","12° 40.4734' N  36° 16.6795' E","LLT-2-T-15-T",12.6745566666667,36.2779916666667
"40193","LLT-2-T-15-M-D1","LLT-2","T",15,"M","12° 40.4734' N  36° 16.6795' E","LLT-2-T-15-M",12.6745566666667,36.2779916666667
"40449","LLT-2-T-15-L-D1","LLT-2","T",15,"L","12° 40.4734' N  36° 16.6795' E","LLT-2-T-15-L",12.6745566666667,36.2779916666667
"40705","LLT-2-T-18-T-D1","LLT-2","T",18,"T","12° 40.4943' N  36° 16.6877' E","LLT-2-T-18-T",12.674905,36.2781283333333
"40961","LLT-2-T-18-M-D1","LLT-2","T",18,"M","12° 40.4943' N  36° 16.6877' E","LLT-2-T-18-M",12.674905,36.2781283333333
